date,time,temperature_2m,temp_f
2026-06-25,2026-06-25T14:00,26.0,78.8
2026-06-26,2026-06-25T17:00,25.8,78.4
2026-06-26,2026-06-26T11:00,22.9,73.2
2026-06-26,2026-06-26T14:15,23.6,74.5
2026-06-27,2026-06-27T01:00,14.2,57.6
2026-06-27,2026-06-27T08:45,11.9,53.4
2026-06-27,2026-06-27T13:30,20.1,68.2
2026-06-28,2026-06-28T01:30,10.8,51.4
2026-06-28,2026-06-28T09:30,17.3,63.1
2026-06-28,2026-06-28T13:45,19.3,66.7
2026-06-29,2026-06-29T14:45,22.7,72.9
2026-06-30,2026-06-30T03:30,12.8,55.0
2026-06-30,2026-06-30T11:15,21.2,70.2
2026-07-01,2026-07-01T03:45,14.0,57.2
2026-07-01,2026-07-01T12:00,22.8,73.0
2026-07-02,2026-07-02T01:30,12.8,55.0
2026-07-02,2026-07-02T11:15,22.6,72.7
2026-07-03,2026-07-03T02:45,14.5,58.1
2026-07-03,2026-07-03T10:00,21.6,70.9
2026-07-04,2026-07-04T01:00,17.2,63.0
2026-07-04,2026-07-04T08:45,22.6,72.7
2026-07-04,2026-07-04T13:30,27.7,81.9
2026-07-05,2026-07-05T01:30,16.7,62.1
2026-07-05,2026-07-05T08:45,19.3,66.7
2026-07-05,2026-07-05T13:30,26.1,79.0
2026-07-06,2026-07-06T05:15,16.0,60.8
2026-07-06,2026-07-06T15:00,27.2,81.0
2026-07-07,2026-07-07T09:00,22.1,71.8
2026-07-08,2026-07-08T00:30,18.2,64.8
2026-07-08,2026-07-08T10:00,24.8,76.6
2026-07-09,2026-07-09T11:15,29.7,85.5
2026-07-10,2026-07-10T11:00,29.7,85.5
2026-07-11,2026-07-10T23:15,22.5,72.5
2026-07-11,2026-07-11T03:45,19.3,66.7
2026-07-11,2026-07-11T08:30,24.9,76.8
2026-07-12,2026-07-12T00:30,22.7,72.9
2026-07-12,2026-07-12T08:30,24.4,75.9
2026-07-12,2026-07-12T13:00,29.1,84.4
2026-07-13,2026-07-13T11:15,27.3,81.1
2026-07-14,2026-07-13T23:15,21.2,70.2
2026-07-14,2026-07-14T05:00,19.5,67.1
2026-07-14,2026-07-14T13:30,29.2,84.6
2026-07-15,2026-07-14T23:30,23.0,73.4
2026-07-15,2026-07-15T05:00,20.2,68.4
2026-07-15,2026-07-15T13:30,30.0,86.0
2026-07-16,2026-07-15T23:30,23.2,73.8
2026-07-16,2026-07-16T05:00,19.6,67.3
2026-07-17,2026-07-16T23:15,22.5,72.5
2026-07-17,2026-07-17T04:45,18.2,64.8
2026-07-17,2026-07-17T09:30,26.4,79.5
2026-07-17,2026-07-17T13:15,29.2,84.6
2026-07-18,2026-07-17T22:45,20.6,69.1
2026-07-18,2026-07-18T03:45,17.3,63.1
2026-07-18,2026-07-18T08:30,22.6,72.7
2026-07-18,2026-07-18T13:00,28.0,82.4
2026-07-19,2026-07-19T00:30,21.0,69.8
2026-07-19,2026-07-19T13:00,29.8,85.6
2026-07-20,2026-07-20T01:15,20.6,69.1
2026-07-21,2026-07-21T00:30,21.9,71.4
2026-07-21,2026-07-21T10:00,26.0,78.8
2026-07-22,2026-07-22T00:30,20.6,69.1
2026-07-22,2026-07-22T10:00,24.7,76.5
2026-07-22,2026-07-22T13:45,27.1,80.8
2026-07-23,2026-07-23T00:30,18.3,64.9
