date,max_temp,min_temp
2021-08-01,31.6,18.0
2021-08-02,32.1,18.2
2021-08-03,33.9,18.6
2021-08-04,34.6,20.4
2021-08-05,30.8,19.0
2021-08-06,29.6,15.1
2021-08-07,31.5,16.7
2021-08-08,31.5,16.9
2021-08-09,31.3,17.6
2021-08-10,31.2,18.9
2021-08-11,29.7,18.9
2021-08-12,30.8,20.9
2021-08-13,31.0,20.5
2021-08-14,31.3,19.8
2022-08-01,29.3,18.8
2022-08-02,27.7,17.1
2022-08-03,29.0,18.0
2022-08-04,30.0,19.6
2022-08-05,27.3,18.1
2022-08-06,27.8,15.5
2022-08-07,30.9,16.5
2022-08-08,30.0,18.3
2022-08-09,30.1,18.7
2022-08-10,28.5,15.8
2022-08-11,29.5,16.2
2022-08-12,29.3,15.6
2022-08-13,29.5,16.7
2022-08-14,30.7,16.9
2023-08-01,29.0,16.7
2023-08-02,28.6,16.2
2023-08-03,24.5,12.3
2023-08-04,26.3,13.3
2023-08-05,28.2,14.8
2023-08-06,29.4,16.9
2023-08-07,30.7,17.1
2023-08-08,29.5,15.4
2023-08-09,27.5,15.7
2023-08-10,24.4,14.3
2023-08-11,23.6,13.6
2023-08-12,26.8,13.6
2023-08-13,28.3,15.7
2023-08-14,29.6,19.0
2024-08-01,32.2,16.9
2024-08-02,30.0,18.3
2024-08-03,31.3,17.3
2024-08-04,32.1,17.7
2024-08-05,32.6,19.1
2024-08-06,33.1,19.5
2024-08-07,33.0,22.5
2024-08-08,31.3,22.1
2024-08-09,31.0,21.4
2024-08-10,31.7,21.5
2024-08-11,31.7,21.1
2024-08-12,29.7,18.6
2024-08-13,27.8,16.0
2024-08-14,27.5,15.8
2025-08-01,29.6,16.9
2025-08-02,28.2,17.0
2025-08-03,28.8,16.5
2025-08-04,24.8,15.0
2025-08-05,27.7,15.1
2025-08-06,29.6,16.4
2025-08-07,31.0,18.0
2025-08-08,33.7,18.9
2025-08-09,33.2,19.7
2025-08-10,32.0,21.3
2025-08-11,30.9,20.8
2025-08-12,30.8,20.9
2025-08-13,30.6,20.2
2025-08-14,29.2,18.0
